prompt,completion
18 Completely Shocking Confessions From Nurses,1
18 Confessions About Being A Lesbian,1
18 Confessions About Married Sex That Will Break Your Heart,1
18 Confessions About Proposals That Will Make You Glad You're Single,1
18 Confessions About Pubic Hair That Will Surprise You,1
18 Confessions From Husbands About Their Wives' Pregnancies,1
18 Confessions From Men Who Call Themselves Feminists,1
18 Confessions From People Waiting Until Marriage To Have Sex,1
18 Confessions From Teachers About The Hardships Of Their Jobs,1
"18 Confessions That Prove You're Not Alone In Your ""The Bachelor"" Obsession",1
18 Confessions That Reveal What It's Like To Live With OCD,1
18 Cosy AF Bath Goals,1
18 Couples Who Made You Believe In Love Again,1
18 Crimes Against Makeup Committed In The '00s,1
"18 Cringeworthy Moments From The First New Episode Of ""First Dates""",1
18 Dating Stories That Will Make You Want To Ask Out Your Crush,1
18 Decadent Cupcake Recipes That Are Better Than Sex,1
18 Decadent Ways To Have Cake For Breakfast,1
18 Delicious Indian Foods That Aren't Curry,1
18 Deliciously Decadent Lemon Desserts To Die For,1
18 Deliciously Filling Salads Guaranteed To Make You Hungry,1
18 Differences Between Snow Days In Canada And America,1
18 Dogs Who Are Stuck In Things But Doing Just Fine,1
18 Dreamy Gifts For Anyone Who Is Obsessed With Traveling,1
18 Easy And Decadent Desserts For People Obsessed With Chocolate,1
18 Easy And Delicious One-Pan Breakfasts,1
18 Easy Ways to Become a Morning Runner Without Even Trying,1
18 Euphoric Moments For Twentysomethings Who Are Basically Grandmas,1
18 Eye-Popping Science Instagrams You Should Follow In 2016,1
18 Fabulous Reasons Regina George Is Perfect The Role Model,1
18 Faces People Who Have Received A Dick Pic Will Immediately Recognise,1
18 Facts Every Lesbian Knows To Be 100% True,1
18 Facts That Will Make Any Indian Feel Old,1
18 Fall Salads You Need In Your Life Right Now,1
18 Filipino Words You Can't Translate To English,1
18 Fixes To Small Problems That Are Annoying AF,1
18 Fizzy Cocktails Guaranteed To Get You Kissed At Midnight,1
18 Food Truths All San Diegans Will Understand,1
18 Genius Ways To Eat Cheese For Every Meal,1
18 Gentlemen Cats Who Have The Best Manners,1
18 German Shepherd Puppies Who Need To Be Snuggled Immediately,1
18 Ghostly Treats That'll Take Your Halloween Party To The Next Level,1
18 Gift Ideas For People Obsessed With Fluffy Things,1
18 Gifts Every Dachshund Lover Needs,1
BBC DJ duo break radio record,0
BBC drops programmes as third of staff join strike,0
BBC Foreign correspondent Brian Hanrahan dies aged 61,0
BBC launches the Creative Archive,0
BBC newsreader sacked after conviction for wounding teenager,0
BBC Outside Broadcasts to be sold to Satellite Information Services,0
"BBC receives 8,400 complaints over 'EastEnders' cot death story",0
BBC reporters arrested in Iran on suspicion of espionage,0
BBC Resists Effort to Share Its License Fee,0
BBC spends Â£3.4m on sell-off,0
BBC Television Centre placed up for sale,0
BBC to cut Electric Proms for financial reasons,0
BBC to play 'four to five seconds' of Thatcher protest song,0
BBC to release iPlayer to other broadcasters,0
BBC World Service to drop five languages,0
"BBC's Mock The Week 'breached guidelines' with Olympian humour, say corporation's Trust",0
BBC's political show makes special edition from Shanghai,0
BBC's Strictly Come Dancing to be broadcast from Blackpool Tower,0
BC election writ drops; referendum campaigns underway,0
Beatles' 'Hey Jude' becomes their most downloaded song on iTunes,0
"Beckham Returns, but Donovan Shines",0
Beckham woos US as Disney Prince,0
Bed Bugs Are Traveling (Not Just on Your Body),0
"Before Big Dinner, the First Lady Gives a Kitchen Tour",0
"Before Election, South Africans Grumble, but Favor A.N.C.",0
"Before Kentucky Derby History Along the Rail, a Partnership Began in a Bar",0
"Before the Tea Party, Thank Your Lucky Stars",0
Beheaded bodies found as fighting continues in Mosul,0
"Behind Chamberlain, Relieved Yankees Coast to Victory",0
"Behind Pettitte, Weary Yankees Beat Rookie Sean West",0
"Behind Red Tides, the Swimming and Shape of Plankton",0
Behind the Profits Lies Trouble for 2 Bank Giants,0
Beijing 2008 Olympics comes to a close,0
Beijing 2008: Michael Phelps wins eighth gold,0
Beijing Adds Curbs on Access to Internet,0
Beijing Court Convicts Former Chief of Sinopec,0
Beijing cracks down on manhole cover thefts,0
Beijing Investigates Transplants for Tourists,0
Beijing plans $242B freeway link to Taiwan,0
"Beijing, in Snub to Taipei, Boycotts a Sports Ceremony",0
Beirut car bomb targets Hamas official,0
Beleaguered British Columbia Premier resigns,0
Belgian Eurovision singer Fud Leclerc dies at age 86,0
Belgian justice prosecutes Scientology,0
"Belgian king swears in PM Van Rompuy, cabinet",0
Belgian peacekeepers wounded in Lebanon,0
Belgian prime minister offers resignation,0
Belgian ship hijacked off Horn of Africa by Somali pirates,0
Belgian triathletes race at North Sea coast,0
Belgium's Queen Fabiola seriously ill,0
Belgrade: demonstration against independent Kosovo escalates into riots,0
Bell Canada Enterprises might be taken private,0
Bell Canada to discontinue beaver mascots,0
Beltran Gets a Second Opinion on His Right Knee,0
Beltran Plays His Odds on the Basepaths,0
Belt-Tightening by N.F.L. Could Dampen Free Agency,0
Ben Folds performs at Western Connecticut State University,0
Ben Shephard announces departure from GMTV,0
Benefits Collected for a Long-Dead Mother,0
"Benet Academy, Illinois students support classmate with leukemia",0
Benfica sacks head coach after first match of the season,0
Berlusconi proposes January elections if government fails to gain parliamentary majority,0
Berlusconi Spars With Murdoch Over Pay TV,0
Berlusconi to remain in hospital after assault,0
Bermuda Premier Escapes Censure Over Uighurs,0
Bernanke Again Rejects Bank Nationalization,0
Bernanke Defends His Role in Merrill Sale,0
Bernanke Says Recovery Is at Least a Year Away,0
"Bernard Lagat Wins Mile at Millrose, Tying Record",0
Bernie Ecclestone attacked outside London headquarters; no arrests made,0
Bernie Ecclestone on the State of Formula One in Hard Economic Times,0
"Bernie Williams, a Revered Yankee, Looks Back and Ahead",0
Bertelsmann Posts $106 Million Loss in First Quarter,0
Bertha becomes first hurricane of 2008 Atlantic season,0
Best Buy Plans to Take on Low-Cost Rivals With Services,0
Best Buy Reports a 10% Sales Increase,0
Best's body arrives in Northern Ireland,0
BET Plans Channel for Middle-Aged Black Audience,0
Betancourt calls for release of all FARC hostages,0
Bethpage Prep Players Could Give Pros a Hint or Two,0
Betting on Wimbledon Match Raises Eyebrows and Initial Concern,0
"Beyond Sports, a Lesson From Desmond Tutu",0
Beyond the Boldface Names in the IndyMac Deal,0
BHP Closing Nickel Mine as Commodity Prices Fall,0
Bickering and Bogeys for Montgomerie and Lyle,0
Bid for Madoff Trading Unit Is $15 Million,0
Bidder Up: Yankees and City Reach Deal to Sell Stadium Memorabilia,0
Biden Arrives in Beirut Ahead of Vote,0
Biden Outlines Plans to Do More With Less Power,0
"Biden questions Bush's ""special treatment"" of ""Scooter"" Libby",0
Biden Questions Vote but Sticks to Policy on Iran,0
Biden's Georgia visit raises speculation about VP nod,0
Big 12 Powers Oklahoma and Baylor Roll,0
Big Ben dropped from ITV News at Ten opening sequence,0
'Big Brother' contestant Parker Somerville sounds off about the show and his aspirations,0
"Big Brown victorious in Kentucky Derby, runner-up Eight Belles breaks down",0
Big Changes on the Way in Lending to Students,0
Big Debt Load Forcing Bankruptcy of Charter,0
Big East Flexes Muscle in Backyard of Former Member,0
Big East Veterans Look and Lament,0
