prompt,completion
2015 Was The Year Taylor Lautner Was Still Really Hot,1
"2015 You're Great And I'ma Let You Finish, But 2006 Had The Best Music Of All Time",1
2015's Best News Bloopers Are Here And They're Out Of Control,1
2015's Biggest Memes Are Now Emojis,1
20-Minute Chicken Recipes To Add Your Arsenal,1
21  Amazing Products Everyone Who Hates Everyone Needs To Own,1
"21 ""Friends"" Facts That Will Legitimately Make You Feel Old",1
"21 ""Harry Potter"" Fanfictions To Read Before You Die",1
"21 ""Miley, What's Good?"" Items You Can Actually Own",1
"21 ""Pocahontas"" Tattoos That Are Breathtakingly Beautiful",1
"21 ""Sailor Moon"" Tattoos That You Will Truly Fall In Love With",1
21 Absolutely Fucking Perfect Moments In Sporting Caption History,1
21 Adorable Fox Products You Need In Your Life,1
21 Adorable Red Panda Products You Need In Your Life,1
21 Adorable Stuffed Animals For Grown-Ass Adults,1
21 Adorable Things You Need If Pigs Are Your Favorite,1
21 Agonizing Truths For People Who Feel Too Much,1
21 Alarmingly WTF Celebrity Outfits From The '90s,1
21 Amazing Cocktails For Anyone Who Loves Citrus,1
21 Amazing Gifts Anyone Who's Always Cold Would Love To Receive,1
21 Amazing Gifts For People Who Are Totally Obsessed With Their Hair,1
21 Amazing Holiday Books You Need To Read ASAP,1
21 Amazing Side Dishes That Will Make You Forget About The Turkey,1
21 Amazingly Delicious Lasagnas Guaranteed To Change Your Life,1
21 Animal Vines That Will Make You Smile Every Time,1
21 Animals That Will Give You Makeup Goals,1
21 Animals Who Are Just As Embarrassing As Your Mom,1
21 Animals You Should Have Been Following In 2015,1
21 Apps That Will Make Your Christmas Shopping Easy,1
21 Awesome '80s Girls Toys That Are Worth A Small Fortune Now,1
21 Awesome Holiday Things You Can Actually Find At Target,1
21 Awesome Lunch Boxes To Get Your Adult On This Year,1
21 Awesome Ways To Bring The Outdoors Into Your Home,1
21 Babies Who Look Remarkably Like Other People,1
21 Back-To-School Style Inspirations From Extremely Stylish Canadians,1
21 Badass Things Bollywood Did In 2015,1
21 Barbie Computer Games You Totally Forgot Existed,1
21 Beautiful And Unexpected Bridesmaid Dress Colors,1
21 Beautiful Models Who Bravely Bared Their Boobs On The Runways,1
21 Beautiful Wedding Desserts That Are Better Than Traditional Cake,1
21 Best Ladies In Suits Moments Of 2015,1
21 Big Dogs Trying Their Best To Be Brave,1
21 Bite-Size Desserts That Are More Satisfying Than A Boyfriend,1
21 Black People Give Their Best Advice For Taking Care Of Your Mental Health,1
21 Blenders That Failed So Hard They Just Failed,1
21 Bold AF Hair Colors To Try In 2016,1
21 Books Everyone Needs To Read Before They Die,1
21 Borderline Orgasmic Experiences For Anyone Who Loves Cleaning,1
21 Borderline Orgasmic Moments Every Woman Will Understand,1
21 Brilliantly Organized Closets That Will Make You Want To Clean,1
21 British Christmas Traditions America Needs To Adopt,1
21 Budget-Friendly Adventures Worth Taking In The New Year,1
21 Buttons Facebook Really Needs Though,1
21 Calendars To Get You Excited For 2016,1
21 Call Center Horror Stories That'll Give You Nightmares,1
21 Candid Photos Of Old Hollywood Celebs,1
21 Cats Wearing Wigs,1
21 Cats Who Are Still Figuring Out This Whole Cat Thing,1
21 Cats Who Really Regret Their Decisions,1
21 Cats Who Will Sway The Non-Believers,1
21 Celebrity Instagrams You Need To See This Week,1
21 Celebrity Kids Who Are Killing Us With Cuteness On Instagram,1
21 Celebrity Wax Figures Who Perfectly Sum Up Your Relationship With Your Boss,1
21 Charts That'll Help You Get In Shape When You're Lazy AF,1
21 Cheap And Easy Decorating Tricks For Renters,1
21 Chicken Recipes For Fall,1
21 Chill Gifts To Get You Through The Holiday Season,1
21 Chocolate And Booze Combinations That Are Better Than A Valentine,1
"21 Christmas Products That Went Way, Way Too Far",1
21 Comments That Prove Nicki Minaj's Instagram Fans Have Lost It,1
21 Completely Engrossing Fan Fictions You Won't Be Able To Stop Reading,1
"21 Completely Genius Ways To Cook Boneless, Skinless Chicken Breasts",1
21 Confessions From Men Who Suffer Domestic Abuse,1
"21 Confessions From Obsessed ""High School Musical"" Fans",1
21 Confessions From Parents Of Teenagers,1
21 Confessions From People Who Can't Put Their E-Books Down,1
21 Confessions From Students Who Are Stressed About Finals,1
"21 Confessions From The Biggest ""Gilmore Girls"" Fans In The World",1
"21 Confessions From The Biggest ""Grey's Anatomy"" Fans On The Internet",1
21 Confessions Of A Southerner Going To School In The North,1
21 Cookies You Need To Make For The Holidays,1
21 Cosy AF Bedroom Goals,1
21 Cozy Sanctuaries To Shelter You From Adulthood,1
21 Cozy Things To Make Before It Gets Cold,1
21 Cozy Velvet Things That Will Make Your Life Fancier,1
21 Crazy Things People Have Actually Witnessed At Disney,1
21 Crock Pot Dump Dinners For Winter,1
21 Crockpot Soups Guaranteed To Help You Brave The Cold,1
21 Cute Dog Pictures To Help You Put Off Whatever You're Putting Off,1
21 Dads Who Are Way Too Embarrassing For Their Own Good,1
