prompt,completion
"23 Reasons Why ""The Princess Bride"" Is The Most Important Movie In Your Life",1
23 Reasons Why You Should Follow @Polls On Twitter,1
23 Reasons You Should Never Set Foot In Manitoba,1
23 Reasons You Should Never Watch American Football,1
"23 Reasons You Should Re-Watch ""The Social Network""",1
23 Recipes That Prove No Meal Is Complete Without Fluff,1
23 Ridiculously Clever Halloween Costumes Every TV Lover Will Want,1
23 Ridiculously Cool Toys That Kids And Adults Will Enjoy,1
23 Scones That Are Here To Shake Up Tea Time,1
23 Secrets Barnes And Noble Employees Will Never Tell You,1
23 Secrets Museum Stewards Will Never Tell You,1
23 Seriously Inspiring Books That'll Help You Manage Your Anxiety,1
"23 Sexy Male ""Survivor"" Contestants Guaranteed To Get You Hot And Bothered",1
23 Sibling Photo Shoots That Will Make You Want Another Baby,1
23 Signs That Cannot Be Trusted,1
23 Signs You're Completely Obsessed With YouTube,1
"23 Signs You're Hopelessly Obsessed With ""New Girl""",1
23 Signs You're Obsessed With Cat Collecting,1
23 Simple Ways To Be The Literal Worst Today,1
23 Sins Everyone Who Grew Up Drinking In Britain Has Committed,1
23 Situations Everyone Who Grew Up Shy Will Understand,1
23 Slices Of Pizza That Will Sexually Awaken You,1
23 Soccer Players Who Forgot How To Human,1
23 Spicy Ways To Bring More Hot Sauce Into Your Life In 2016,1
23 Sports Fans Who Made A Huge Mistake,1
23 Stock Photos That Are Better Than A Personal Trainer,1
23 Stocking Fillers For The Beauty Addict In Your Life,1
"Delta flight makes emergency landing at JFK, no injuries",0
Delta II launches GPS IIR-19 satellite,0
Delta II rocket launches GLAST observatory,0
Delta Plans More Cuts on International Routes,0
Dem. Republic of Congo prepares to confront Rwanda,0
Demand Is Weak at Treasury Auction,0
"DeMaurice Smith, New Head of N.F.L. Union, Starts Work Right Away",0
Democrat staffers obtained Maryland lt. governor's credit report illegally,0
Democratic Party reaches deal over Florida and Michigan,0
"Democratic Republic of Congo adopts new constitution, plans elections",0
Democratic Republic of Congo: UN expert accuses soldiers of killing 50 Hutu refugees in North Kivu,0
Democrats ask GAO for election review,0
Democrats Cut Labor Provision Unions Sought,0
Democrats Have Qualms Over War in Afghanistan,0
Democrats in Congress Are Ready to Pare Budget,0
Democrats Look for Ways to Undo Late Bush Administration Rules,0
Democrats Resisting Obama on Social Security,0
Democrats Scramble to Cut Costs From Health Plan,0
Democrats See Progress on Proposal for Economy,0
Democrats Work to Pare Cost of Health Care Bill,0
Demolition to resume at New York skyscraper damaged by 9/11 after deadly fire,0
Demonstration in Hong Kong denounces WTO,0
Demonstrations planned to protest internet censorship in Finland,0
Demonstrators and police clash at IMF meetings in Istanbul,0
Demonstrators clash with police in Algeria after slum protest,0
Demosphere.net launches new Wiki,0
"Denis Potvin Chant Endures With a Smile, Not a Snarl",0
Denmark blames al-Qaeda for embassy bombing,0
Denmark elects new centre-left coalition and prime minister,0
Denmark holds nationwide light show to mark digital switchover,0
"'Denmark will be attacked' says one expert, 'Denmark safe' says another",0
Denmark withdraws troops from Iraq,0
"Dennis Ritchie, C programming language creator, dies aged 70",0
Denny's Super Bowl free 'Grand Slam Breakfast' brings 2 million diners,0
Denver Broncos player Kenny McKinley found dead aged 23,0
Denver win 2009 USAFL National Championship,0
Departing U.S. Ambassador Warns Against Quick Withdrawal From Iraq,0
Department of Defense denies federal funding to schools that ban military recruiting,0
Department of Defense report lambasts communication failure in US War on Terror,0
Departments to Toughen Standards for Mining,0
DePaul Edges No. 21 Rutgers With a Strong Finish,0
"Depending on Context, Bird Couples Sing in Harmony or Discord",0
Deposed Kyrgyz President flees to Kazakhstan,0
Deposed Mauritanian president Sidi Ould Cheikh Abdallahi is released,0
Derailments close Australian rail routes,0
Derby promoted after 1-0 win over WBA in Championship playoff final,0
Derby Winner Mine That Bird Works Out,0
Derivatives Tug of War Takes Shape,0
DeRosa Is Never Out of Position for the U.S.,0
Desmond Tutu calls for election of African pope,0
"Desperate Children Flee Zimbabwe, for Lives Just as Desolate",0
"Despite All Odds, Filly Is Clear Favorite in the Preakness",0
"Despite Fall, German Pair Win Skating Championship",0
"Despite Kyrgyz Vote to Close U.S. Base, Gates Explores Options to Keep It Open",0
"Despite Major Plans, Obama Taking Softer Stands",0
"Despite Odds, Cities Race to Bet on Biotech",0
"Despite passage of bailout bill, two US states may need loans",0
"Despite Profit Decline, Optimistic Words at Nokia",0
"Despite Recession, Demand for Skilled Labor Is High",0
"Despite Red Flags, Judges Ran Kickback Scheme for Years",0
"Despite Some Good News, Stocks Tumble",0
"Despite speculation, aides say Biden will remain on Obama ticket",0
"Despite Torture Video, U.S. and Emirates Sign Key Pact",0
Destroyed Kelso High School to be rebuilt,0
Destroying Levees in a State Usually Clamoring for Them,0
Details emerge in Haiti earthquake; thousands feared dead,0
Details emerge of Honda's withdrawal from Formula One,0
Details emerge on fatal stabbing at Belgian day care centre,0
Details emerge on how al-Zarqawi's location was pinned,0
Details of a Trimmer Stimulus Emerge,0
Details of Prostitution Ring Leave Houston Speculating,0
"Details, but Little Insight, on Craigslist Killing Suspect",0
Detained AIDS activist Phyu Phyu Thin released in Myanmar,0
"Detainee Was Tortured, a Bush Official Confirms",0
Detainee Who Claims Abuse to Return to Britain,0
"Detroit chemical plant experiences explosions, fire; residents evacuated",0
"Detroit chemical plant experiences explosions, fire; residents evacuated/Brief",0
Detroit Council Member Pleads Guilty to Accepting Bribes for Vote,0
Detroit Courts Vie to Host Potential Bankruptcies,0
Detroit Crime Cases to Require Retesting,0
Detroit Faces Its Critics With Anger and Tears,0
"Detroit Lions fire coach Mariucci, two assistant coaches",0
Detroit Mayoral Candidate Admits Making False Claims About His Education,0
Detroit Red Wings win 2008 NHL Western finals,0
Detroitâ€™s population drops by one-fourth in the last decade,0
Deutsche Bank in Deal to Diversify Its Business,0
Deutsche Bank Posts $1.6 Billion Profit,0
Developing Nations May Be Driving World Economy,0
Devendorf and Heytvelt Flourish After Receiving Second Chances,0
Device on Nets May Protect Sea Turtles,0
"Device to Trace State Vehicle Was Disabled, Official Says",0
Devotion and Money Tie Iranians to Iraqi City,0
Dexia Posts Decline in Profit but Says It Is 'on the Mend',0
"DHS relies on Wikipedia for asylum information, appeals court rules against use",0
"Dial-a-Mattress, in Bankruptcy, Will Sell to Rival",0
"Diamond Sales, and Prices, Plunge in Downturn",0
Diamonds: Anglo American to pay US$5.1 billion for 40% of De Beers,0
Dibabaâ€™s comeback: Long-distance track star wins her first World Championship title since 2007,0
Dick Cheney makes surprise Iraq visit,0
Did human remains cause mad cow disease?,0
