prompt,completion
"10 Hilarious Rounds Of ""Never Have I Ever"" With Ice Cube And Kevin Hart",1
"10 Impossible ""Would You Rather?"" Questions For Anyone Who Texts",1
10 Incredibly Cute Ways To Give A Gift Card,1
10 Insanely Delicious Cheesecakes You Won't Believe Are Vegan,1
10 Insanely Delicious Recipes That'll Take Your Brunch Game To The Next Level,1
10 Insanely Delicious Smoothies To Fuel Your Trip To The Gym,1
10 Insanely Delicious Veggie Noodle Recipes That Are Better Than Pasta,1
10 Italian Dishes Your Nonna Would Be Proud Of,1
10 Jack-O'-Lanterns That Would Terrify All Introverts,1
10 Jeans Hacks To Keep Your Look On Point,1
10 Leftover Makeovers You Won't Believe,1
10 Life-Changing Things To Try In 2016,1
10 Life-Changing Things To Try In December,1
10 Life-Changing Things To Try In February,1
10 Life-Changing Things To Try In November,1
10 Life-Changing Things To Try In October,1
10 Men From Morehouse Who Will Give You Future Son And Bae Goals,1
10 Most Mesmerizing Latte Art Videos Of 2015,1
10 Mouthwatering Dishes That Are As Healthy As They Are Simple,1
10 Mouthwatering Pizza Facts,1
10 Movies With A Shit-Ton Of Lesbian Subtext,1
10 Mundane Things About Fall That Are Actually The Most Terrifying,1
10 Of The Biggest Lies We Were Told In 2015,1
10 Of The Strangest Compliments Ever Received,1
10 Pairs Of Unrelated Films Summed Up In The Same Sentence,1
10 People Who Lost 50+ Pounds Share Their Best Tips For Getting Started,1
10 Perks Of Having Small Boobs,1
10 Places To Travel In 2016,1
10 Questions People Who Hate Pumpkin Spice Are Sick Of Hearing,1
10 Quizzes To Take With Your Family This Holiday Season,1
10 Rare Pepe Gifts That'll Prove You're Not A Normie,1
"10 Reasons ""Gotham"" Season 2 Is A Brand New Show",1
10 Reasons The Starbucks Red Cup Is The Most Magical Thing Ever,1
"10 Reasons We're Psyched About The Renewal Of ""Scream Queens""",1
10 Recipes To Make As You Cry To Adele's New Album,1
10 Recipes To Save Your Sanity,1
10 Ridiculously Easy And Delicious Soups That Are Perfect For Fall,1
10 Ridiculously Hot Doctors Guaranteed To Give You A Fever,1
10 Scary Movies As Viewed By Complete Cowards,1
10 Scrumptious Gluten-Free Treats That Don't Feel Like A Compromise,1
10 Senior Photos That'll Make You Glad You Graduated,1
"10 Signs You're Totally Obsessed With ""Star Trek""",1
10 Steps To Get The Perfect Nudes,1
10 Surprisingly Delicious Ways To Cook With Beer,1
10 Swoonworthy Recipes That Seem Fancy But Are Actually Easy To Make,1
10 Things Spanish Majors Are Tired Of Hearing,1
10 Things You Can Look Forward To This Winter,1
"10 Times I Lost My Sh*t Watching ""Hamilton"" The Musical",1
10 Times Martha Stewart Was Exactly As Campy As She Wanted To Be,1
10 Tips To Help You Get To Sleep,1
10 Top Fashion Tips From Stylish Plus-Size Guys,1
10 Trends That Didn't Catch On In 2015,1
10 Truths Eurasians Know Too Well,1
10 Video Game Documentaries Every Gamer Should Watch,1
10 Ways You Can Help Victims Of The #ChennaiRains Right Now,1
10 Words That Came From Nahuatl,1
"$1,000 reward offered for answer from US President",0
$1.75 Trillion Deficit Seen as Obama Unveils Budget Plan,0
$106 billion war bill backed by U.S. House of Representatives,0
$112 Million Caterpillar Loss Is First in 17 Years,0
$125 Million Is Pledged to Big Medical Center,0
$20 million prize offered in lunar rover contest,0
$200 Laptops Break a Business Model,0
$296 Billion in Overruns in U.S. Weapons Programs,0
$30 Million Paid So Far to Madoff Victims,0
"$431,000 Paid for Envelope and Its Stamp",0
$500 Million for Tribes,0
$619 Million Paid to Keep A.I.G. Staff,0
$8 Million Award in First Solo Tobacco Trial,0
"$8,000 Phobos Media Center Comes With a Tech",0
".asia domain applications near 300,000 on opening of registration",0
.tel top-level domain launched,0
"1 in 7 Freed Detainees Said to Be Militant Fighters, Pentagon Report Says",0
1 million people welcome 2007 in Sydney,0
"1,000 arrested in Iraq in crackdown against al-Qaeda",0
"1,100 evacuated due to massive Halifax brush fire",0
10 arrested over Ugandan school fire as death toll reaches 20,0
10 billionth song downloaded from Apple's iTunes Store,0
10 billionth update placed on social networking website Twitter,0
10 Held in China for Mistreating Factory Workers,0
"10 years on Diana, Princess of Wales remembered",0
100 participate in Zagreb Pride,0
"100,000 Parents of Citizens Were Deported Over 10 Years",0
100m record beaten in Rieti,0
100th British soldier killed in Iraq,0
10-year-old child takes grandmother's car for 85 Km drive,0
10-Year-Old Spaniel Named Best in Show at Westminster,0
11 Japanese hospitals receive bomb threats,0
11 killed in Mexican military helicopter crash,0
11 MPs ejected from Australian parliament,0
11 Pirates Seized by French Navy,0
11 policemen dead after attack by Taliban,0
11th suspect arrested in Laos overthrow plot; indictments handed down,0
11th-Hour Court Order Blocks Oil and Gas Leases in Utah,0
11th-Hour Ruling Blocks Utah Oil and Gas Leases,0
11th-Seeded Lady Bulldogs Advance to Second Round,0
11-year-old boy dies after being shot in Liverpool,0
11-year-old California girl charged for throwing stone in defense,0
12 dead following police raid of Mexican night club,0
12 hurt in San Luis de La Balsa tourist bus accident,0
"12 injured after van carrying church group flips over on Buffalo, NY expressway",0
1200 schools may be closed by UK teachers strike,0
"12-year-old girl dies after collapsing in school in Northamptonshire, England",0
"12-year-old school boy has sex change in Sussex, England",0
13 arrested in Rhys Jones murder investigation,0
13 Big Equity Firms Pledge to Invest Responsibly,0
13 dead as cargo plane crashes in Congo,0
13 die in two aircraft accidents in Russia,0
13 drug-resistant TB cases reported in Thailand,0
13 Firms That Received Bailout Money Owe Back Taxes,0
13 killed in U.S. air strike in Pakistan,0
13 missing from ship off coast of Madagascar; two rescued,0
13 Peruvian Troops Killed in Ambushes,0
"13 pilot whales returning to sea, off Western Australia",0
"13,000 people participate in Bristol running event",0
130 dead after torrential rains in India,0
13th Annual Beverly Hills film festival opens,0
14 killed by bushfires in Australia,0
14 killed in Russian bus-truck collision,0
14 US soldiers dead after helicopter crash in Iraq,0
"14,000-acre Southern California 'Crown Fire' at 82% containment, evacuation orders lifted",0
"14,500 job cuts announced by Hewlett-Packard",0
147 Gang Members Charged After Inquiry in Calif.,0
15 confirmed dead after Iraq bombing,0
15 Die on Indian Train,0
15 killed and 22 injured after fire in Chinese bar,0
"15 killed, 30 injured attempting to steal fuel from train in India",0
"15,000 attended memorial for Zhao Ziyang",0
16 dead after U.S. helicopter crashes in Afghanistan,0
16 Foot Asteroid Passes Between Earth and Satellites,0
16 Held in Coup Effort in Equatorial Guinea,0
163 dead after lead poisoning in Nigeria,0
17 killed after Cambodian ferry capsizes,0
17 troops killed in bombing on Afghanistan-Pakistan border; Separate bombing kills dozens of civilians,0
1700 runners still unaccounted for in UK's Lake District following flood,0
17-Point Play Waved Off in California,0
18 illegal Afghan and Burmese immigrants killed in truck crash in Turkey,0
18 People Rescued After Civilian Helicopter Goes Down Off the Coast of Scotland,0
180 Hidden Miles of Great Wall of China Found,0
188 Fatah supporters permitted to enter Israel,0
18-year US media ban on covering return of fallen soldiers lifted,0
19 Burmese political prisoners released; more to come,0
19 Kenyans arrested for 'witch' killings,0
19 South Koreans return home after release from Taliban captivity,0
"19th century stable in Buffalo, New York officially saved from demolition",0
2 Adults Slain Outside Norwegian School,0
2 Advisers Abducted in Somalia,0
2 Are Approved for Justice Dept.,0
2 Auditors Held in India Fault System,0
2 Britons Die During Peak Ascent in the Alps,0
"2 Churches, Black and White, See Inaugural Hope",0
2 Countries Agree to Ease Bank Secrecy Rules,0
2 Die in Clash in India,0
2 Ex-Detainees in Qaeda Video,0
2 Ex-Timesmen Say They Had a Tip on Watergate First,0
2 Firms Accused of Fraud in Debt Settlement Practices,0
